time,rr_interval,lf,hf,lf_hf_ratio,hr,mean_hr,max_hr,min_hr,rmssd,sdnn,breath_rate
1,886,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,775,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,828,-1,-1,-1,74.94156147732585,-1,-1,-1,-1,-1,-1
4,934,-1,-1,-1,68.35179840486609,-1,-1,-1,-1,-1,-1
4,1001,-1,-1,-1,62.08994431692504,-1,-1,-1,-1,-1,-1
6,916,-1,-1,-1,62.721121673086735,-1,-1,-1,-1,-1,-1
7,961,-1,-1,-1,63.96857349285905,-1,-1,-1,-1,-1,-1
8,965,-1,-1,-1,62.30556469135669,-1,-1,-1,-1,-1,-1
8,903,-1,-1,-1,64.31067426368065,-1,-1,-1,-1,-1,-1
9,941,-1,-1,-1,65.10356904544187,-1,-1,-1,-1,-1,-1
10,927,-1,-1,-1,64.24343723024118,-1,-1,-1,-1,-1,-1
11,944,-1,-1,-1,64.14212056387471,-1,-1,-1,-1,-1,-1
11,986,-1,-1,-1,62.20562450579297,-1,-1,-1,-1,-1,-1
13,1020,-1,-1,-1,59.83772819472617,-1,-1,-1,-1,-1,-1
13,869,-1,-1,-1,63.93420429161307,-1,-1,-1,-1,-1,-1
15,897,-1,-1,-1,67.96725563924244,-1,-1,-1,-1,-1,-1
16,940,-1,-1,-1,65.359709670533,-1,-1,-1,-1,-1,-1
17,875,-1,-1,-1,66.20060790273556,-1,-1,-1,-1,-1,-1
17,1031,-1,-1,-1,63.383677428294305,-1,-1,-1,-1,-1,-1
18,1136,-1,-1,-1,55.50641384680537,-1,-1,-1,-1,-1,-1
19,949,-1,-1,-1,58.020674097270664,-1,-1,-1,-1,-1,-1
21,1024,-1,-1,-1,60.90909839304531,-1,-1,-1,-1,-1,-1
22,1065,-1,-1,-1,57.46588908450704,-1,-1,-1,-1,-1,-1
23,993,-1,-1,-1,58.38049444704481,-1,-1,-1,-1,-1,-1
24,1041,-1,-1,-1,59.02992416657234,-1,-1,-1,-1,-1,-1
25,884,-1,-1,-1,62.75509538774499,-1,-1,-1,-1,-1,-1
26,917,-1,-1,-1,66.65202781053702,-1,-1,-1,-1,-1,-1
27,983,-1,-1,-1,63.234196165788966,-1,-1,-1,-1,-1,-1
28,897,-1,-1,-1,63.96363599247407,-1,-1,-1,-1,-1,-1
28,898,-1,-1,-1,66.85238843658522,-1,-1,-1,-1,-1,-1
29,878,-1,-1,-1,67.57613730334685,-1,-1,-1,-1,-1,-1
30,816,-1,-1,-1,70.93327080262628,-1,-1,-1,-1,-1,-1
31,904,-1,-1,-1,69.95054659031754,-1,-1,-1,-1,-1,-1
32,898,-1,-1,-1,66.5934130910381,-1,-1,-1,-1,-1,-1
33,807,-1,-1,-1,70.58229357266458,-1,-1,-1,-1,-1,-1
33,774,-1,-1,-1,75.9344111120717,-1,-1,-1,-1,-1,-1
34,785,-1,-1,-1,76.97625043203476,-1,-1,-1,-1,-1,-1
35,841,-1,-1,-1,73.88837977233655,-1,-1,-1,-1,-1,-1
36,816,-1,-1,-1,72.43652514513533,-1,-1,-1,-1,-1,-1
37,856,-1,-1,-1,71.81143485431556,-1,-1,-1,-1,-1,-1
37,752,-1,-1,-1,74.94034599323922,-1,-1,-1,-1,-1,-1
38,739,-1,-1,-1,80.48901620936861,-1,-1,-1,-1,-1,-1
39,831,-1,-1,-1,76.696482220583,-1,-1,-1,-1,-1,-1
40,825,-1,-1,-1,72.46471939612735,-1,-1,-1,-1,-1,-1
41,892,-1,-1,-1,69.99592335915206,-1,-1,-1,-1,-1,-1
42,930,-1,-1,-1,65.89035151164472,-1,-1,-1,-1,-1,-1
42,839,-1,-1,-1,68.0149179130301,-1,-1,-1,-1,-1,-1
43,749,-1,-1,-1,75.81025793628692,-1,-1,-1,-1,-1,-1
44,723,-1,-1,-1,81.5471804729958,-1,-1,-1,-1,-1,-1
45,736,-1,-1,-1,82.25464549882736,-1,-1,-1,-1,-1,-1
45,762,-1,-1,-1,80.13094830537487,-1,-1,-1,-1,-1,-1
46,759,-1,-1,-1,78.89577043976223,-1,-1,-1,-1,-1,-1
47,719,-1,-1,-1,81.2503092239441,-1,-1,-1,-1,-1,-1
48,751,-1,-1,-1,81.67135520742858,-1,-1,-1,-1,-1,-1
48,767,-1,-1,-1,79.06016662702663,-1,-1,-1,-1,-1,-1
49,779,-1,-1,-1,77.62434036884115,-1,-1,-1,-1,-1,-1
50,727,-1,-1,-1,79.77638597786108,-1,-1,-1,-1,-1,-1
51,700,-1,-1,-1,84.12261741010022,-1,-1,-1,-1,-1,-1
51,705,-1,-1,-1,85.41033434650456,-1,-1,-1,-1,-1,-1
52,769,-1,-1,-1,81.56489500041502,-1,-1,-1,-1,-1,-1
53,806,-1,-1,-1,76.2325471835099,-1,-1,-1,-1,-1,-1
54,811,-1,-1,-1,74.21221235309775,-1,-1,-1,-1,-1,-1
55,932,-1,-1,-1,69.18020988235793,-1,-1,-1,-1,-1,-1
56,993,-1,-1,-1,62.400321564254504,-1,-1,-1,-1,-1,-1
57,980,-1,-1,-1,60.82372526049694,-1,-1,-1,-1,-1,-1
58,851,-1,-1,-1,65.86488884625531,-1,-1,-1,-1,-1,-1
58,830,-1,-1,-1,71.39722226154913,-1,-1,-1,-1,-1,-1
59,814,-1,-1,-1,72.99961516828986,-1,-1,-1,-1,-1,-1
60,854,-1,-1,-1,71.98384247564576,-1,-1,-1,-1,-1,-1
